"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","verifyAfterDeleteUseCaseTest","regression","2026-06-07","skipped","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","verifyAfterDeleteUseCaseTest"
"","15874","addAndDeleteSubscribesTest","regression","2026-06-07","passed","2026-06-07","tests.ContactUsTests","Main Flow","tests.ContactUsTests","addAndDeleteSubscribesTest"
"","1859","verifyAfterAddFeatureGroupTest","regression","2026-04-04","passed","2026-04-04","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","verifyAfterAddFeatureGroupTest"
"","25369","shouldAddEditAndDeleteUsersSuccessfully","regression","2026-06-15","passed","2026-06-15","tests.UsersTests","Main Flow","tests.UsersTests","shouldAddEditAndDeleteUsersSuccessfully"
"","2","setUp","regression","2026-04-04","broken","2026-04-04","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","setUp"
"","3181","editFeatureGroupTest","regression","2026-04-04","passed","2026-04-04","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","editFeatureGroupTest"
"","2341","verifyAfterDeleteFeatureGroupTest","regression","2026-04-04","passed","2026-04-04","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","verifyAfterDeleteFeatureGroupTest"
"","3521","verifyAfterAddPartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTests","Chrome","tests.PartnersTests","verifyAfterAddPartnerTest"
"","0","login","regression","2026-03-21","broken","2026-03-21","tests.CategoryTests","Chrome","tests.CategoryTests","login"
"","0","deleteFeatureGroupTest","regression","2026-03-21","skipped","2026-03-21","tests.FeatureGroupTests","Chrome","tests.FeatureGroupTests","deleteFeatureGroupTest"
"","2","setUp","regression","2026-03-12","broken","2026-03-12","tests.LoginTests","Chrome","tests.LoginTests","setUp"
"","22","verifyAfterDeleteCategoryTest","regression","2026-03-30","skipped","2026-03-30","tests.CategoryTests","Chrome","tests.CategoryTests","verifyAfterDeleteCategoryTest"
"","13295","editUseCaseTest","regression","2026-06-07","broken","2026-06-07","tests.UseCasesTests","Main Flow","tests.UseCasesTests","editUseCaseTest"
"","14728","deletePartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTestsTwo","Chrome","tests.PartnersTestsTwo","deletePartnerTest"
"","3655","verifyAfterAddPartnerTest","regression","2026-04-01","passed","2026-04-01","tests.PartnersTestsTwo","Chrome","tests.PartnersTestsTwo","verifyAfterAddPartnerTest"
